;Worldwide Navigation Database
;Exported via DFD v1.0 19.0123
;Software copyright (c) 2019 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;Source data copyright (c) 2019 Jeppesen
;This data may be used for ground based recreational computer game
;simulation software only, and may not be recompiled, interpreted,
;or distributed for any purpose without the written consent of Navigraph.
;The contents of this database is dated and must not be used for real
;world navigation as it is unlawful and unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1903 (28/FEB/2019 - 28/MAR/2019) - Ver.1
;------------------------------------------------------
8844E	 88.000000	  44.000000	15
8744E	 87.000000	  44.000000	15
8944E	 89.000000	  44.000000	15
8945E	 89.000000	  45.000000	15
8745E	 87.000000	  45.000000	15
8845E	 88.000000	  45.000000	15
8946E	 89.000000	  46.000000	15
8746E	 87.000000	  46.000000	15
8846E	 88.000000	  46.000000	15
8947E	 89.000000	  47.000000	15
8747E	 87.000000	  47.000000	15
8847E	 88.000000	  47.000000	15
8948E	 89.000000	  48.000000	15
8748E	 87.000000	  48.000000	15
8848E	 88.000000	  48.000000	15
8749E	 87.000000	  49.000000	15
8849E	 88.000000	  49.000000	15
8949E	 89.000000	  49.000000	15
8850E	 88.000000	  50.000000	15
8950E	 89.000000	  50.000000	15
8750E	 87.000000	  50.000000	15
8851E	 88.000000	  51.000000	15
8951E	 89.000000	  51.000000	15
8751E	 87.000000	  51.000000	15
8852E	 88.000000	  52.000000	15
8952E	 89.000000	  52.000000	15
8752E	 87.000000	  52.000000	15
8853E	 88.000000	  53.000000	15
8953E	 89.000000	  53.000000	15
8753E	 87.000000	  53.000000	15
8854E	 88.000000	  54.000000	15
8754E	 87.000000	  54.000000	15
8954E	 89.000000	  54.000000	15
8755E	 87.000000	  55.000000	15
8855E	 88.000000	  55.000000	15
8955E	 89.000000	  55.000000	15
8756E	 87.000000	  56.000000	15
8856E	 88.000000	  56.000000	15
8956E	 89.000000	  56.000000	15
8757E	 87.000000	  57.000000	15
8857E	 88.000000	  57.000000	15
8957E	 89.000000	  57.000000	15
8758E	 87.000000	  58.000000	15
8958E	 89.000000	  58.000000	15
8858E	 88.000000	  58.000000	15
8959E	 89.000000	  59.000000	15
8759E	 87.000000	  59.000000	15
8859E	 88.000000	  59.000000	15
8860E	 88.000000	  60.000000	15
8760E	 87.000000	  60.000000	15
8960E	 89.000000	  60.000000	15
8961E	 89.000000	  61.000000	15
